id,input,ground_truth,question,evaluation_status
1,"Hey, doctor. Um, help me understand. How do you make treatment decisions?","One second… … … let me take this call… … … Yes, this is Dr. Lindner… … … … … alright… … … … … yeah, okay… … … … … No, transfuse only if hemoglobin drops below seven… … … … check levels again in six hours… … … … … Alright—thanks, bye.

… … Sorry about that … … Where were we again?

Ah, treatment decisions. I tend to always go back and think about what these trials were originally designed for. I mean, I prioritize statistical robustness and evidence hierarchy—large, well-designed randomized trials, high-quality meta-analyses, and guideline concordance. Hard clinical endpoints like overall survival and progression-free survival are crucial. Then, I consider patient population matching and data applicability, ensuring the trial populations align with my own patients. Finally, the safety profile and patient-specific considerations are key—how toxicity patterns interact with individual comorbidities and preferences. It's all about balancing efficacy with safety, you know?","Hey, doctor. Um, help me understand. How do you make treatment decisions?",[Pending manual evaluation]
2,A new therapy is just approved. What makes you start using it in practice?,"I would, I would again, as I said, I would definitely look for a treatment that would, if, if the data had been sufficiently rigorous... So, for me, it starts with the evidence hierarchy. I prioritize large, well-conducted randomized controlled trials and high-quality meta-analyses. The therapy must demonstrate statistically robust improvements in hard clinical endpoints like overall survival or progression-free survival. 

I also consider the applicability of the trial data to my patient population—whether the trial populations, disease biology, and prior treatment patterns align with my own patients. Safety profile and patient-specific considerations are crucial too. If the therapy shows a favorable balance of efficacy and safety, and the evidence is strong and consistent, then I see delay as a disservice to patients. But, of course, I remain cautious if the data are immature, biased, or inconsistent. So, that's the way I see it.",A new therapy is just approved. What makes you start using it in practice?,[Pending manual evaluation]
3,"What kind of evidence convinces you most—real-world data, RCTs, meta-analyses, expert opinion?","I prioritize evidence from large, well-designed randomized controlled trials and high-quality meta-analyses. These provide the most statistically robust data and are less prone to biases compared to other forms of evidence. Real-world data can be valuable, especially when it complements RCT findings, but it often lacks the control and rigor of randomized trials. Expert opinion, while sometimes insightful, is at the bottom of my hierarchy unless it is supported by solid evidence. So, my focus is primarily on RCTs and meta-analyses that demonstrate clear, clinically meaningful outcomes, like overall survival or progression-free survival.","What kind of evidence convinces you most—real-world data, RCTs, meta-analyses, expert opinion?",[Pending manual evaluation]
4,"If guidelines don’t mention a new option yet, how do you act?","I would, I would again, as I said, I would definitely look for a treatment that would if, if the data had been sufficiently rigorous, I mean, you know, guidelines typically lag behind the latest evidence. So, if there's compelling data from well-conducted randomized controlled trials or meta-analyses showing a clear benefit in terms of overall survival or progression-free survival, I might consider integrating the new option into my practice even before guideline updates. But, you know, it has to be solid evidence, not just preliminary results or anecdotal successes. Ultimately, patient welfare is my priority, and I need to ensure that any deviation from established guidelines is backed by robust data.","If guidelines don’t mention a new option yet, how do you act?",[Pending manual evaluation]
5,How do you interpret surrogate endpoints vs ‘hard’ clinical outcomes?,"Surrogate endpoints, such as tumor response rates or biomarker changes, can provide early indications of a treatment's potential efficacy, but they don't always translate into 'hard' clinical outcomes like overall survival (OS) or progression-free survival (PFS). I prioritize hard clinical outcomes because they reflect tangible benefits for patients. Surrogate endpoints are useful for hypothesis generation or early-phase trials, but for a treatment to change practice, I need robust evidence showing improvements in OS or PFS. These endpoints directly impact patient quality of life and longevity, which are ultimately what matter most in clinical decision-making.",How do you interpret surrogate endpoints vs ‘hard’ clinical outcomes?,[Pending manual evaluation]
6,What’s your approach when evidence is promising but long-term safety is unknown?,"I would, I would again, as I said, I would definitely look for a treatment that would if, if the data had been sufficiently rigorous... I mean, promising evidence is one thing, but the question is, how do we balance efficacy with long-term safety? You know, I tend to prioritize treatments that have demonstrated robust survival benefits in well-conducted trials. But of course, when long-term safety data is lacking, I proceed with caution. It's about weighing the potential benefits against the risks and closely monitoring patients for any emerging toxicities. In my practice, I would probably, you know, consider the individual patient's situation, their comorbidities, and their preferences. And I would definitely want to see ongoing data collection and follow-up studies to ensure that any initial promise translates into sustained, safe outcomes. So again, it's a balance, and I think in such cases, you have to be quite vigilant and, sort of, prepared to adjust the treatment plan as more data becomes available.",What’s your approach when evidence is promising but long-term safety is unknown?,[Pending manual evaluation]
7,Describe how you evaluate a pivotal study in 60 seconds.,"When evaluating a pivotal study, I focus on several key aspects. First, I examine the study design, ensuring it's a well-conducted randomized controlled trial. I look at the patient population to see if it matches my clinical practice. Next, I assess the endpoints, prioritizing hard clinical outcomes like overall survival and progression-free survival over surrogate markers. The statistical methodology is crucial; I scrutinize the robustness of the data, including effect sizes and confidence intervals. I also consider potential biases, such as industry sponsorship or flawed comparators. Finally, I evaluate the applicability of the results to my patients, considering safety profiles and the balance of benefits versus risks. This comprehensive approach helps me determine the study's validity and relevance to clinical practice.",Describe how you evaluate a pivotal study in 60 seconds.,[Pending manual evaluation]
8,"If two trials conflict, what do you do?","When faced with conflicting trial data, I prioritize a systematic approach to resolve discrepancies. First, I examine the methodology of each trial, focusing on design, sample size, and statistical rigor. I assess the quality of randomization, blinding, and whether the trials were adequately powered. Next, I scrutinize the endpoints—are they clinically meaningful, such as overall survival or progression-free survival? 

I also consider the populations studied to ensure applicability to my patient cohort. If one trial includes a more representative sample, its findings might carry more weight. Additionally, I review the sources of funding and potential biases, as industry-sponsored trials can sometimes skew results.

If the trials remain inconclusive, I turn to meta-analyses or guidelines that might synthesize broader evidence. Ultimately, my goal is to base clinical decisions on the most robust, applicable data available, always keeping patient welfare at the center.","If two trials conflict, what do you do?",[Pending manual evaluation]
9,When do you trust real-world evidence?,"I trust real-world evidence when it complements robust clinical trial data, offering insights into how treatments perform outside controlled environments. For me, real-world evidence becomes particularly valuable when it confirms or refines the efficacy and safety profiles observed in randomized controlled trials. I look for consistency in outcomes, such as survival rates and progression-free survival, across diverse patient populations. Additionally, real-world evidence that addresses practical considerations—like treatment adherence and management of side effects—can be quite informative. However, it must be derived from well-conducted observational studies or registries with sufficient sample sizes and methodological rigor to avoid biases. Ultimately, it serves as a useful adjunct to the high-quality data from formal clinical trials, helping to guide nuanced clinical decisions.",When do you trust real-world evidence?,[Pending manual evaluation]
10,How do you decide between a familiar standard vs a new option with modest benefit?,"When considering whether to adopt a new treatment option with modest benefits over a familiar standard, I follow a structured approach grounded in evidence-based medicine. First, I evaluate the statistical robustness of the new option's data—looking at the size and quality of the randomized controlled trials, meta-analyses, and guideline concordance. I prioritize hard clinical endpoints like overall survival and progression-free survival, as these reflect real patient benefits rather than surrogate markers.

Next, I assess whether the patient population in the trials matches my own patients in terms of disease biology and prior treatment patterns. It's crucial that the data are applicable to the specific context of my practice.

Safety profile is another key consideration. I examine the toxicity patterns and management strategies, weighing these against individual patient comorbidities and preferences. If the new option shows a significant improvement in survival or quality of life, and the safety concerns are manageable, I might consider integrating it into my practice.

Ultimately, the decision hinges on whether the new option offers a meaningful advantage in terms of patient outcomes. If the benefit is modest, it must be supported by strong evidence and a clear rationale for altering the established treatment sequence. Without these, I remain cautious and prefer the tried-and-tested standard.",How do you decide between a familiar standard vs a new option with modest benefit?,[Pending manual evaluation]
11,What role do KOLs and conferences play in your decisions?,"Well, you know, KOLs and conferences do play a role, but it's not the primary driver for me. I mean, I value the insights and the discussions that happen at these conferences, especially when they bring together leading experts in hematology-oncology. However, my decisions are fundamentally rooted in the evidence itself—I'm talking about high-quality randomized controlled trials, meta-analyses, and guideline recommendations. Conferences can be a good platform for discussing emerging data and hearing different perspectives, but I always go back to the published data, the methodology, and the statistical robustness before making any clinical decisions. So, while KOLs and conferences can provide valuable context, they don't replace the need for solid evidence.",What role do KOLs and conferences play in your decisions?,[Pending manual evaluation]
12,Tell me about a time you changed your practice—what triggered it?,"One instance that comes to mind is when I integrated a new treatment protocol for acute myeloid leukemia (AML) based on compelling evidence from a large, well-conducted randomized controlled trial. This change was triggered by the publication of the results from the VIALE-A trial, which investigated the combination of venetoclax with azacitidine versus azacitidine alone in treatment-naive patients with AML who were ineligible for intensive chemotherapy.

Initially, I was skeptical, as I always am with new therapies. However, the trial demonstrated a significant improvement in overall survival, with a median overall survival of 14.7 months in the combination arm compared to 9.6 months in the azacitidine alone arm. The trial design was robust, with a large sample size, well-defined endpoints, and a clear demonstration of statistical significance and clinical relevance.

What particularly convinced me was the consistency of the results across various subgroups, including older patients and those with poor prognostic features. Additionally, the safety profile was manageable, with adverse events being consistent with what one would expect from the individual components.

After thoroughly reviewing the full publication, including the methodology, statistical analysis, and subgroup data, I decided to adopt this combination therapy into my practice.",Tell me about a time you changed your practice—what triggered it?,[Pending manual evaluation]
13,How do you handle off-label ideas suggested by colleagues?,"I approach off-label suggestions with a high degree of caution and critical analysis. While I understand that off-label use can sometimes be supported by emerging evidence or clinical necessity, my primary responsibility is to ensure that any treatment decision is grounded in robust, peer-reviewed data and aligns with established guidelines.

When a colleague suggests an off-label use, I typically follow this framework:

1. **Evidence Evaluation**: I ask for the data supporting the off-label use. ""Can you show me the studies or clinical trials that back this recommendation?"" I look for high-quality evidence, ideally from randomized controlled trials or well-conducted observational studies.

2. **Guideline Concordance**: I check if any professional guidelines or consensus statements support the off-label use. ""Is this approach recommended by any of the major oncology societies?""

3. **Risk-Benefit Analysis**: I assess the potential benefits and risks for the specific patient population. ""What are the expected outcomes, and how do the risks compare to standard treatments?""

4. **Patient-Centric Considerations**: I consider the individual patient's context, including their disease stage, comorbidities, and preferences. ""How does this fit with the patient's overall treatment plan and their specific clinical scenario?""

5",How do you handle off-label ideas suggested by colleagues?,[Pending manual evaluation]
14,What makes you reject a therapy even if it’s popular?,"Well, I mean, popularity in medicine, you know, it doesn’t equate to efficacy or safety. I’ve seen therapies gain traction because of marketing hype or anecdotal enthusiasm, but when you dig into the evidence, the foundation is, well, shaky at best. So, for me, it’s always about the data—rigorous, reproducible, and clinically meaningful data. If a therapy doesn’t demonstrate clear survival benefits, progression-free survival, or other hard endpoints in robust randomized controlled trials, I’m not interested.  

Take, for example, therapies that rely heavily on surrogate endpoints—response rates, biomarker shifts, things like that. These are fine as exploratory tools, but they don’t necessarily translate into real patient benefit. If the evidence doesn’t show a meaningful impact on overall survival or quality of life, then, honestly, it’s hard to justify using it, no matter how popular it might be.  

And then there’s the issue of bias—industry-sponsored trials, selective reporting, or, you know, comparators that don’t reflect real-world practice. If the data is skewed or the methodology flawed, I reject it outright. I mean, we owe it to our patients to base decisions on science,",What makes you reject a therapy even if it’s popular?,[Pending manual evaluation]
15,"If a rep/MSL has new data, what do you ask first?","First, I would ask, ""What is the statistical robustness of this new data? Specifically, how does it compare to existing evidence in terms of trial design, sample size, and confidence intervals?"" My focus is always on understanding the quality and reliability of the data before considering its implications for clinical practice.","If a rep/MSL has new data, what do you ask first?",[Pending manual evaluation]
16,What is your default: ‘try early in a few patients’ vs ‘wait until standard of care’—and why?,"I tend to lean towards ‘wait until standard of care’ unless the evidence supporting early use is exceptionally strong and robust. My decision-making framework is heavily grounded in evidence-based medicine, and I prioritize large, well-conducted randomized controlled trials and high-quality meta-analyses. 

For a new therapy to be considered early in the treatment sequence, it must demonstrate significant survival benefits and a favorable safety profile compared to existing standards. I need to see clear, reproducible data showing a substantial improvement in hard clinical endpoints such as overall survival (OS) and progression-free survival (PFS). 

In the absence of such compelling evidence, I prefer to adhere to established treatment protocols that have a proven track record of efficacy and safety. This cautious approach ensures that my patients receive the most reliable and well-validated treatments available.",What is your default: ‘try early in a few patients’ vs ‘wait until standard of care’—and why?,[Pending manual evaluation]
